"George Mason University Department of Police & Public SafetyDAILY CRIME AND FIRE LOGJanuary 2017",,,,,,
"Tuesday, January 31, 2017",,,,,,
1/26/2017,1:49 AM,"1/25/2017 -1/26/2017","11:00 PM -1:30 AM","Mason GlobalCenter","2017-000867 / Theft From Building. Complainant (GMU) reported the theft ofmoney from a dorm room. (27/Zamora)",Pending
"Wednesday, January 25, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Tuesday, January 24, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/24/2017,1:16 PM,1/21/2017,"7:00 PM -9:29 PM",Sub-1,"2017-000764 / Counterfeiting / Forgery. Complainant (GMU) reported receivingcounterfeit money during a transaction. (24/Lee)",Inactive
1/24/2017,1:08 PM,"1/21/2017 -1/22/2017","9:00 PM -7:00 AM",Monroe Hall,"2017-000763 / Burglary. Complainant (GMU) reported the theft of a purse from asecured dorm room. (58/Crice)",Pending
"Monday, January 23, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/23/2017,6:13 PM,1/23/2017,6:13 PM,"JacksonHall","2017-000731 / Drug/Narcotic Violations / Drug Equipment Violations. Subject(GMU) was referred to Office of Student Conduct (OSC) for possessing illegal drugsand drug equipment. (43/Blevins)","Referred toOSC"
"",,,,,2017-000727 / Phone Hacking. Complainant (GMU) reported being a possible,
"",,,,Mason Global,,
1/23/2017,4:57 PM,1/23/2017,4:57 PM,,victim of phone hacking. Case referred to Criminal Investigations Division.,Pending
"",,,,Center,,
"",,,,,(58/Crice),
"",,1/13/2017 -,12:05 AM -,Robinson Hall,2017-000714 / Burglary. Complainant (GMU) reported the theft of textbooks from,
1/23/2017,11:05 AM,,,,,Pending
"",,1/19/2017,11:05 PM,B426,a secured office. (24/Lee),
"",,,,,2017-000706 / Trespass of Real Property. Subject (GMU) was arrested and,
"",,,,,,Cleared by
1/23/2017,9:15 AM,12/12/2016,2:03 PM,Taylor Hall,transported to Fairfax County Adult Detention Center for violating a criminal,
"",,,,,,Arrest
"",,,,,trespass warning. (18/Broughton),
"",,,,,"Sunday, January 22, 2017",
"",Report,Incident,Incident,,,
Report Date,,,,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
"",Time,Date,Time,,,
"",,,,,2017-000682 / Simple Assault / Liquor Law Violations / Drunkenness. Subject,
"",,,,Jefferson Hall 1st,(GMU) was arrested and transported to Fairfax County Adult Detention Center for,Cleared by
1/22/2017,10:12 PM,1/22/2017,10:12 PM,,,
"",,,,floor,committing simple assault against a complainant (GMU) and being highly,Arrest
"",,,,,intoxicated in public while under age 21. (56/Hagenow),
"",,,,Aquatic Center,2017-000681 / Sexual Assault / Fondling. Complainant (GMU) reported receiving,
1/22/2017,9:36 PM,1/22/2017,7:30 PM,(Men's Locker,unwanted sexual touching by an unknown male subject while changing in the,Pending
"",,,,Room),men's locker room. Case referred to Criminal Investigations Division. (38/Rourke),
"",,,,,2017-000648 / Liquor Law Violations. Subject (Non-GMU) was issued a releasable,Cleared by
"",,,,,summons for possessing alcohol while under age 21. A second subject (GMU) was,Summons /
1/22/2017,1:38 AM,1/22/2017,1:38 AM,Potomac Heights,,
"",,,,,referred to Office of Student Conduct (OSC) for contributing alcohol to a minor.,Referred to
"",,,,,(17/Bietsch),OSC
"",,,,,2017-000646 / Liquor Law Violations / Drunkenness / Medical Assist. Subject,
"",,,,Sidewalk outside,(GMU) was issued a releasable summons for being highly intoxicated in public,Cleared by
1/22/2017,12:55 AM,1/22/2017,12:55 AM,,,
"",,,,of Monroe Hall,while underage and transported to Fairfax Hospital for overconsumption of,Summons
"",,,,,alcohol. (56/Hagenow),
"",,,,,"Saturday, January 21, 2017",
"",Report,Incident,Incident,,,
Report Date,,,,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
"",Time,Date,Time,,,
"",,,,,2017-000611 / Intimidation / Blackmail / Computer Scam. Complainant (GMU),
1/21/2017,1:26 AM,1/21/2017,1:00 AM,Masonvale,,Inactive
"",,,,,reported being the victim of a computer scam. (38/Rourke),
"",,,,,"Friday, January 20, 2017",
"",Report,Incident,Incident,,,
Report Date,,,,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
"",Time,Date,Time,,,
"",,,,Original Building,,
"",,,,,2017-000592 / Destruction/Damage/Vandalism of Property. Complainant (GMU),Information
1/20/2017,12:30 PM,1/17/2017,11:00,(Arlington,,
"",,,,,reported damage to state property. (29/Holcomb),Only
"",,,,Campus),,
"Thursday, January 19, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/19/2017,3:07 PM,"1/18/2017-1/19/2017","4:00 PM -7:30 AM",Enterprise Hall,"2017-000560 /Theft from a Building. Complainant (GMU) reported the larceny oftwo textbooks. (18/Broughton)",Inactive
"Wednesday, January 18, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/18/2017,5:41 PM,1/18/2017,5:41 PM,Fairfax Campus,"2017-000529 / Stalking. Complainant (GMU) reported receiving unwanted,threatening messages from a known subject (Non-GMU). (24/Lee)",Pending
"Tuesday, January 17, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Monday, January 16, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Sunday, January 15, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/15/2017,9:00 PM,1/15/2017,9:00 PM,Roosevelt Hall,"2017-000397 / Drug/Narcotic Violations / Drug Equipment Violations. Subject(GMU) was issued a releasable summons for possessing illegal drugs and drugequipment. (46/Morrison)","Cleared bySummons"
"Saturday, January 14, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/14/2017,1:36 AM,1/14/2017,1:36 AM,"Patriot Circle @Shenandoah","2017-000347 / Drunkenness. Subject (GMU) was arrested and transported toFairfax County Adult Detention Center for being highly intoxicated in public.(59/Willis)","Cleared byArrest"
"Friday, January 13, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/13/2017,12:19 PM,Unknown,Unknown,"Water Reservoirnear Krasnow","2017-000325 / Destruction/Damage/Vandalism of Property. Complainant (GMU)reported vandalism to a water reservoir. (54/King)",Inactive
1/13/2017,5:41 AM,1/13/2017,4:30 AM,"Masonvale(StaffordshireLane/PatriotCircle)","2017-000313 / Robbery / False Police Report. Complainant (GMU) reported beingphysically assaulted and threatened by two men, one white and one black,wearing dark clothing, who displayed a hand gun. The suspects took thecomplainant's wallet and cell phone and fled north on Patriot Circle on foot. Policeare continuing to investigate reports of a robbery near Masonvale on the FairfaxCampus. UPDATE January 20, 2017: After admitting to filing a false police report,original complainant in the case was arrested and transported to Fairfax CountyAdult Detention Center and later transported to a mental health center forevaluation. (38/Rourke / 41/Alfaro)","Unfounded /Cleared byArrest"
"Thursday, January 12, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Wednesday, January 11, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/11/2017,9:00 AM,"1/10/2017 -1/11/2017","2:00 PM -10:30 AM","Original Building(ArlingtonCampus)","2017-000265 / Destruction/Damage/Vandalism of Property. Complainant (GMU)reported damage to a railing. (29/Holcomb)","InformationOnly"
1/11/2017,8:33 AM,"December2016","NotReported",Merten Hall,"2017-000269 / Use of profane, threatening, or indecent language over the phoneor public airways. Complainant (GMU) reported receiving one harassing phone callfrom an unknown subject (Non-GMU). Referred to Criminal Investigations Division.(12/Guston)",Pending
1/11/2017,8:33 AM,11/29/2016,"NotReported",Merten Hall,"2017-000260 / Use of profane, threatening, or indecent language over the phoneor public airways. Complainant (GMU) reported receiving one harassing phone callfrom an unknown subject (Non-GMU). Referred to Criminal Investigations Division.(12/Guston)",Pending
"Tuesday, January 10, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Monday, January 9, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Sunday, January 8, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Saturday, January 7, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/7/2017,3:51 PM,1/7/2017,3:51 PM,"Baseball Field(Press Box)","2017-000170 / Burglary. Complainant (GMU) reported that multiple subjectsgained entry into an unauthorized area. Two juvenile subjects (Non-GMU) wereapprehended and returned to their parents. (42/Taylor)",Pending
"Friday, January 6, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Thursday, January 5, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/5/2017,10:05 PM,1/5/2017,10:05 PM,"Ox Road /Braddock Road","2017-000128 / Drug/Narcotic Violations / Drug Equipment Violations. Subject(non-GMU) was issued a releasable summons for possessing illegal drugs and drugequipment. (46/Morrison)","Cleared bySummons"
1/5/2017,7:32 PM,"12/16/2016- 1/5/2017",Unknown,"StudentApartments Bldg.2","2017-000121 / Burglary. Complainant (GMU) reported theft of a wallet fromsecured apartment sometime during the winter break. (14/Stampfel)",Pending
"Wednesday, January 4, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Tuesday, January 3, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/3/2017,3:23 PM,1/3/2017,3:23 PM,Art and Design,"2017-000059 / Theft from Building. Complainant (GMU) reported the theft of anunattended desktop computer from an open area. Computer later found to havebeen moved by an employee and not stolen. Report unfounded by officer.(13/Kessler)",Unfounded
"Monday, January 2, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/2/2017,9:58 AM,1/2/2017,9:58 AM,Police HQ,"2017-000029 / Arrest Warrant Service. Subject (GMU) was served an arrestwarrant out of Prince William County and transported to Fairfax County AdultDetention Center. (10/Ganley)","Cleared byArrest"
"Sunday, January 1, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/1/2017,2:22 AM,1/1/2017,2:22 AM,Braddock Road,"2017-000009 / Driving Under the Influence. Subject (Non-GMU) was arrested andtransported to Fairfax County Adult Detention Center for driving a vehicle whileintoxicated. (46/Morrison)","Cleared byArrest"
"",,,,,,
*Amendments to the Crime and Fire Log are updated within two business days. Questions? Please contact the Clery Compliance Coordinator at (703) 993-5497 or cleryact@gmu.edu.,,,,,,
"George Mason University Department of Police & Public SafetyDAILY CRIME AND FIRE LOGFebruary 2017",,,,,,
"Tuesday, February 28, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
2/28/2017,12:04 PM,"2016 -2/28/2017","MultipleTimes","Fairfax Campus /Off-Campus","2017-002737 / Stalking. Complainant (GMU) reported receiving unwanted contactfrom a known subject (Non-GMU) on multiple occasions. (13/Kessler)","Referred toTitle IX"
2/28/2017,1:30 AM,2/28/2017,1:30 AM,"Piedmont(Lobby)","2017-002719 / Trespassing. Subject (Non-GMU) was trespassed from all housingareas on campus for entering a housing area without permission. (56/Hagenow)",Closed
"Monday, February 27, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
2/27/2017,6:58 PM,2/27/2017,6:58 PM,Eastern Shore,"2017-002699 / Drug/Narcotic Violations. Subject (GMU) was referred to Office ofStudent Conduct (OSC) for using illegal drugs (41/Alfaro)","Referred toOSC"
2/27/2017,5:09 PM,2/27/2017,1:30 PM,Planetary Hall,"2017-002694 / Theft from Building. Complainant (GMU) reported the theft ofunattended property from an unsecured location. (56/Hagenow)",Closed
2/27/2017,4:11 PM,2/27/2017,3:48 PM,"Outside ofInnovation Hall","2017-002692 / Larceny. Complainant (GMU) reported the theft of an unsecuredbicycle from a bike rack. (42/Taylor)",Pending
"Sunday, February 26, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
2/26/2017,2:15 AM,2/26/2017,2:15 AM,"Outside ofPiedmont Hall","2017-002638 / Drunkenness. Subject (GMU) was arrested and transported toFairfax County Adult Detention Center for being highly intoxicated in public.(32/O'Hare)","Cleared byArrest"
2/26/2017,1:37 AM,2/26/2017,1:37 AM,"Ox Road (Route123)","2017-002634 / Liquor Law Violations / Drunkenness. Eight Subjects (GMU) werereferred to Office of Student Conduct (OSC) for possessing alcohol in public whileunder age 21. (58/Crice)","Referred toOSC"
"Saturday, February 25, 2017",,,,,,
Report Date,"ReportTime","IncidentDate","IncidentTime",Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
2/25/2017,11:21 PM,2/25/2017,11:21 PM,"President's ParkDrive","2017-002619 / Liquor Law Violations / Drunkenness. Two Subjects (GMU) werearrested and transported to Fairfax County Adult Detention Center for being highlyintoxicated in public and referred to Office of Student Conduct (OSC) forpossessing alcohol while under age 21. (43/Blevins)","Cleared byArrest /Referred toOSC"
"",,,,,2017-002587 / Liquor Law Violations / Drunkenness / Resisting Arrest. Subject,Cleared by
"",,,,,(GMU) was arrested and transported to Fairfax County Adult Detention Center for,Arrest /
2/25/2017,3:31 AM,2/25/2017,3:31 AM,Presidents Park,,
"",,,,,being highly intoxicated in public and referred to Office of Student Conduct (OSC),Referred to
"",,,,,for possessing alcohol while under age 21. (59/Willis),OSC
"",,,,,2017-002585 / Liquor Law Violation / Drunkenness / Providing False,
"",,,,Courtyard,,Cleared by
"",,,,,Identification to Law Enforcement. Subject (GMU) was arrested and transported,
"",,,,between,,Arrest /
2/25/2017,3:09 AM,2/25/2017,3:09 AM,,to Fairfax County Adult Detention Center for being highly intoxicated in public and,
"",,,,Sandbridge and,,Referred to
"",,,,,"providing false identification to law enforcement, and also referred to Office of",
"",,,,Piedmont,,OSC
"",,,,,Student Conduct (OSC) for possessing alcohol while under age 21. (58/Crice),
"",,,,,2017-002572 / Liquor Law Violations / Drunkenness. Subject (GMU) was arrested,
"",,,,,,Cleared by
2/25/2017,12:44 AM,2/25/2017,12:44 AM,Outside of Ike's,and transported to Fairfax County Adult Detention Center for being highly,
"",,,,,,Arrest
"",,,,,intoxicated in public while under age 21. (32/O'Hare),
"",,,,,2017-002570 / Liquor Law Violations / Drunkenness. Subject (GMU) was arrested,Cleared by
"",,,,,and transported to Fairfax County Adult Detention Center for being highly,Arrest /
2/25/2017,12:26 AM,2/25/2017,12:26 AM,Patriot Circle,,
"",,,,,intoxicated in public and referred to Office of Student Conduct (OSC) for,Referred to
"",,,,,possessing alcohol while under age 21. (43/Blevins),OSC
"",,,,,"Friday, February 24, 2017",
"",Report,Incident,Incident,,,
Report Date,,,,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
"",Time,Date,Time,,,
"",,,,,2017-002566 / Destruction/Damage/Vandalism of Property / Motor Vehicle,
"",,,,Outside of Rogers Crash. Subject (GMU) was issued a releasable summons for Failure to Pay Full,,Cleared by
2/24/2017,10:50 PM,2/24/2017,10:50 PM,,,
"",,,,Hall,Time and Attention after crashing into the side of Rogers Hall. Damage estimated,Summons
"",,,,,"$30,000. (43/Blevins)",
"",,,,Rivanna River,,
"",,,,,2017-002565 / Liquor Law Violations. Subject (GMU) was issued a releasable,Cleared by
2/24/2017,10:45 PM,2/24/2017,10:45 PM,Way @ Patriot,,
"",,,,,summons for possessing alcohol while under age 21. (4/Ross),Summons
"",,,,Circle,,
"",,,,Patriot Circle @,,
"",,,,,2017-002563 / Liquor Law Violations. Subject (GMU) was issued a releasable,Cleared by
2/24/2017,10:25 PM,2/24/2017,10:25 PM,Shenandoah,,
"",,,,,summons for possessing alcohol while under age 21. (32/O'Hare),Summons
"",,,,River Rd,,
"",,,,,2017-002546 / Drug/Narcotic Violations / Drug Equipment Violations. Subject,
"",,,,,,Cleared by
2/24/2017,5:05 PM,2/24/2017,5:05 PM,Northern Neck,(GMU) was issued a releasable summons for possessing illegal drugs and drug,
"",,,,,,Summons
"",,,,,equipment. (58/Crice),
"",,,,,2017-002542 / Destruction/Damage/Vandalism of Property. Subject (GMU) was,
"",,,,Northern Neck,,Cleared by
2/24/2017,3:46 PM,2/24/2017,3:46 PM,,arrested and transported to Fairfax County Adult Detention Center for damaging,
"",,,,(lobby),,Arrest
"",,,,,property and acting disorderly. (10/Ganley),
"",,,,,2017-002526 / Drug/Narcotic Violations / Liquor Law Violations / Drunkenness.,
"",,,,,Subject (GMU) was arrested and transported to Fairfax County Adult Detention,Cleared by
2/24/2017,1:11 AM,2/24/2017,1:11 AM,Ike's,,
"",,,,,Center for being highly intoxicated in public while under age 21 and possessing,Arrest
"",,,,,illegal drugs. (41/Alfaro),
"",,,,,"Thursday, February 23, 2017",
"",Report,Incident,Incident,,,
Report Date,,,,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
"",Time,Date,Time,,,
"",,,,,2017-002521 / Liquor Law Violations / Drunkenness. Subject (Non-GMU) was,
"",,,,Roanoke River Rd,,Cleared by
2/23/2017,11:41 PM,2/23/2017,11:41 PM,,arrested and transported to Fairfax County Adult Detention Center for being highly,
"",,,,at Po River Rd,,Arrest
"",,,,,intoxicated in public while under age 21. (41/Alfaro),
"",,,,,CSA Report #022317-2 / Stalking. Mason Police was notified by a Mason,
"",,February,Multiple,,Employee that a complainant (GMU) has received unwanted contact from a known,Information
2/23/2017,3:00 PM,,,Fairfax Campus,,
"",,2017,Times,,"subject (GMU) on multiple occasions. Due to confidentiality of reporting, limited",Only
"",,,,,information is available regarding this incident.,
"",,,,,CSA Report #022317-1 / Sexual Assault / Rape. Mason Police was notified by a,
"",,,,,Mason Employee that a complainant (GMU) was sexually assaulted by an,
"",,,,Off-Campus,undisclosed subject in an undisclosed dorm room. UPDATE 2/24/2017: Location,
"",,,Not,,,Referred to
2/23/2017,9:10 AM,2/1/2017,,(location,"changed to ""Off-Campus."" Mason Police was informed this incident did not occur",
"",,,Reported,,,Title IX
"",,,,undisclosed),on property owned or controlled by Mason and thus will not be included in annual,
"",,,,,"crime statistics. Due to confidentiality of reporting, limited information is available",
"",,,,,regarding this incident.,
"",,,,George Mason,2017-002469 / Drug/Narcotic Violations / Drug Equipment Violations. Two,
"",,,,,,Cleared by
2/23/2017,2:56 AM,2/23/2017,2:56 AM,Blvd and,Subjects (GMU) were issued releasable summonses for possessing illegal drugs and,
"",,,,,,Summons
"",,,,University Dr,drug equipment. (56/Hagenow),
"",,,,Rappahannock,2017-002467 / Driving Under the Influence. Subject (GMU) was arrested and,
"",,,,,,Cleared by
